Fid,Trans_Date,CC_No,CC_type,Trans_Type,Amount,Firstname,Lastname,Gender,Age,lat,lon,Transid,Label,results
216.58.217.100-10.42.0.211-443-53254-6,23-06-22,6540000000000000.0,Visa and Mastercard,travel,139.50978700000002,Gina,Grimes,Female,62,41.3851,-80.1752,305000,0,0
10.42.0.151-66.231.239.122-37377-80-6,19-11-22,343000000000000.0,American Express and Discover,kids_pets,1072.340217,Kayla,Jones,Female,67,42.0158,-73.2913,785000,0,0
10.42.0.42-106.11.95.2-46708-443-6,24-01-23,4200000000000000.0,Dynamic Currency Conversion,personal_care,627.284787,Victoria,Mcbride,Female,54,39.3465,-90.9362,240000,0,0
180.163.255.159-10.42.0.211-80-34697-6,15-12-21,6010000000000000.0,Single Currency Card,travel,312.343947,Natalie,Watson,Female,44,34.0443,-118.2509,325000,1,1
10.42.0.151-23.208.38.196-35273-443-6,10-01-22,38300000000000.0,EaseMyTrip,personal_care,244.79123700000002,Candice,Brown,Female,55,33.3749,-99.8473,535800,1,1
10.42.0.151-10.42.0.1-5732-53-17,21-04-22,4.51e+18,First Wealth Credit Card ,entertainment,2407.246035,Monica,Cohen,Female,42,39.8936,-79.7856,720000,0,0
172.217.2.106-10.42.0.211-443-59370-6,26-04-22,180000000000000.0,Elite Credit Card,kids_pets,198.065894,Charles,Robles,Male,58,27.7898,-82.7243,374000,0,0
156.154.202.36-10.42.0.42-443-53997-6,12-10-21,30400000000000.0,Dynamic Currency Conversion,shopping_net,532.03399,Savannah,Lewis,Female,54,43.0498,-78.851,189650,0,0
175.100.207.231-10.42.0.211-80-37025-6,14-02-23,6010000000000000.0,Single Currency Card,home,311.963409,Natalie,Watson,Female,61,34.0443,-118.2509,420850,1,1
10.42.0.211-23.206.173.182-55689-80-6,16-01-22,4.46e+18,EaseMyTrip,personal_care,100.302262,Stanley,Mayo,Male,69,38.5234,-120.6763,815000,1,1
172.217.10.35-10.42.0.211-443-54429-6,07-01-21,4810000000000.0,Dynamic Currency Conversion,shopping_net,2172.697765,Sabrina,Nolan,Female,62,32.4204,-85.0796,1065000,1,1
172.217.10.142-10.42.0.211-443-37803-6,16-05-22,5100000000000000.0,Single Currency Card,food_dining,155.549069,Regina,Johnston,Female,80,40.8295,-72.6473,199000,1,1
10.42.0.211-120.27.153.169-60755-80-6,11-01-22,630000000000.0,EaseMyTrip,personal_care,490.20701299999996,Rachel,Daniels,Female,73,46.3535,-86.6345,195000,1,1
174.35.73.149-10.42.0.211-80-59860-6,03-11-21,180000000000000.0,Dynamic Currency Conversion,shopping_net,251.13798599999998,Becky,Mckinney,Female,76,30.7145,-88.0918,1506000,0,0
10.42.0.211-50.18.251.157-58343-443-6,04-04-21,2240000000000000.0,Single Currency Card,kids_pets,989.962866,Maria,Rosales,Female,70,40.6072,-83.9585,288400,1,1
172.217.6.238-10.42.0.42-443-43740-6,16-01-21,4.4e+18,EaseMyTrip,home,2109.90649,Marissa,Powell,Female,68,41.4972,-98.7858,442000,0,0
172.217.11.46-10.42.0.151-443-35635-6,08-09-21,4.8e+18,First Wealth Credit Card ,personal_care,376.579631,Erica,Briggs,Female,45,38.8938,-86.5246,619420,0,0
172.217.10.234-10.42.0.151-443-46890-6,05-02-21,30000000000000.0,Elite Credit Card,home,73.203221,Kevin,Summers,Male,70,42.277,-97.1926,635000,0,0
10.42.0.211-125.88.193.226-50087-80-6,16-01-23,36900000000000.0,Dynamic Currency Conversion,shopping_pos,744.613395,Ana,Mccormick,Female,68,43.6498,-116.4306,210000,1,1
172.217.12.142-10.42.0.151-443-59913-6,04-06-21,38000000000000.0,Single Currency Card,personal_care,12465.54938,Sonya,Jensen,Female,72,43.8967,-89.8219,512500,0,0
216.58.219.227-10.42.0.151-443-44735-6,11-11-22,6010000000000000.0,EaseMyTrip,shopping_pos,13557.29726,Valerie,Davis,Female,58,36.9688,-78.5615,567000,1,1
